地区,日期,门店,问题描述,问题分类,系统,,是否已建bug链接,bug链接,是否已建story链接,story链接,修复时间,修复结果
,4月10日,,第一个处方药品能跟英克一样，有个明显的提示框,系统设计问题,收银,不修复,,,,,,
,4月10日,,希望参林收银页面增加“中类名称”的字段展示，门店用来判断商品摆放和查效期的时候方便看是哪个类,功能缺失问题,收银,转需求,,,,,,
,4月10日,,团购单等菜单，当拉到下拉的滚动条时，可以拉横向滚动条，但同时看不到字段名称,系统设计问题,参林后台,转需求,,,,,,
,4月10日,08947李淑君,加盟退货无法选择滞销原因,系统设计问题,参林后台,转需求,,,,,,
,4月10日,,未对接百科处方和参林流水的关联功能，目前清远反馈无法关联处方问题较多,功能缺失问题,参林后台,转需求,是,https://dpms.dslbuy.com/browse/POS-27735,,,,
,4月10日,,参林后台--个人销售报表 渠道名称字段有unknown值,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27736,,,,
,4月10日,,团购赠品和胶袋类商品无法用0元申请,功能缺失问题,参林后台,转需求,,,,,,
,4月10日,,两班对比销售列表 数据排序错乱,系统设计问题,参林后台,转需求,,,,,,
,4月10日,,云浮门店发生有加盟店向直营店调拨数据，需要处理打款,系统设计问题,参林后台,已修复,,,,,,
,4月10日,,加盟店之间调拨，调入店未冻结货款,系统设计问题,参林后台,设计如此,,,,,,是同一个转移实体，不占用金额，不扣减金额的
,4月11日,08947清远清城嘉园,清远加盟反馈，之前做错计划7天内或者月度中参额度退货是通过滞销原因退的，现在做退货会提示要选中90天原因，但是加盟又没有这个原因选项。现在要怎样才能退？还是不给退了？产品和业务部门需要有统一的回复,系统设计问题,参林后台,转需求,,,,,,
,4月12日,清远多家门店,清远门店提示医保配置失败，需要跳过提示,系统设计问题,收银,设计如此,,,,,,没有配置上
,4月12日,06790杨丹丽,用户对小票上的积分有疑问，现在不是实时获取会员信息的,系统设计问题,收银,设计如此,,,,,,需要出新的方案
,4月12日,01669新一佳店,新系统团购申请可不可以在出单时再选择批号出数，因为在申请时就先选择批号，若在未批复时又再销售可能会导致批号对不上,系统设计问题,收银,转需求,,,,,,
,4月12日,多家门店反馈,参林pos调拨英克pos门店，无法调拨，页面报错，百科和参林后台都报错,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27747?filter=-3,,,2024/4/16,已修复
,4月12日,4-5家门店,1.0的单据在英克pos和参林pos同时存在，参林门店，如果点了英克那一条1.0补货单，百科的接口走参林pos的查询数据，因此每次添加都会报错,系统设计问题,参林后台,转需求,,,,,,
,4月12日,12635云尚四季店,1163019卡格列净片库存1盒 前台出数显示库存不足 这个已销售出不了单,系统设计问题,收银,设计如此,,,,,,
,4月12日,02284店,"会员：15019305878
现象：补加积分提示没有门店，如图
在英克有对应的店长门店，参林没有
诉求：批量处理类似的会员数据，不影响使用",功能缺失问题,参林后台,转需求,,,,,,
,4月13日,06668福堂店,同一个商品，同批号，显示正常商品，门店出数显示统一召回，不可以销售，但是附近兄弟门店又可以正常销售，正常出数。1085107.金嗓散结胶囊,系统设计问题,参林后台,设计如此,,,,,,
,4月12日,,团购单怎么看是否被提单了,系统设计问题,参林后台,转需求,,,,,,
,4月15日,,陈列检查-检查天数设置，比如新增的部门大参林，店长角色可以编辑，容易被改动或删除，需要控制权限,系统设计问题,参林后台,转需求,,,,,,
,4月15日,,百科收货 参林状态没有更新，看图,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-28001,,,,
,4月15日,,终审状态和初审状态是什么关系,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-28064,,,2024/4/25,已修复
,4月15日,,处方单据重复,系统设计问题,参林后台,不修复,,,,,,
,4月15日,,店长状态，调拨单据无审批按钮,质量bug问题,参林后台,转需求,,,是,https://dpms.dslbuy.com/browse/POS-28103,,
,4月16日,,有可用库存，但是无法上屏--已提工单处理,数据配置问题,收银,已修复,,,,,,
,4月16日,80055店、04958店,百科收货显示0箱,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27280?jql=key%20in%20(POS-27280),,,2024/4/16,已修复
,4月16日,01161店,"企健网有中药，刷卡提示小计金额问题
订单：346033577139367936",质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27947,,,2024/5/7,已修复
,4月16日,,1、05981店清远清新怡德居：1159554，检查了效期报表是在效期内但无法上屏（英克的失效日期是2026-12-31，参林的失效日期却是2023-12-31）----已提工单处理,数据配置问题,收银,已修复,,,,,,
,4月16日,,2、07558店：8906033，检查了综合报表是正常商品无法上屏（提示召回商品）,系统设计问题,收银,转需求,,,,,,
,4月16日,00149店,这商品综合报表查询是属于【订购无】，请货类型选择-订购无，提示不是该类型请货（这个商品既是订购无又是下图商品。在订购无请货单添加下图商品，需要拆单到下图类型请货单里，但这个商品又是订购无，导致又无法插入到下图类型请货单里。需要产品介入提供解决方案）,系统设计问题,参林后台,转需求,,,,,,
,4月16日,,中药装斗目前不能批量装斗，一个一个点要点很多次，重复多次选择装斗人和复核人,系统设计问题,参林后台,转需求,,,,,,
,4月17日,04355店,正常【销完撤牌】可以请货，【收货撤牌】不可以请货。测试过一个店在英克是请货的。,功能缺失问题,参林后台,转需求,,,,,,
,4月17日,04899门店,中药装斗选不到装斗人和复核人，装斗：陈武君13543160728 复核：黄慧滨15976906045,数据配置问题,参林后台,已修复,,,,,,
,4月17日,04178店,旧系统的商品属性‘自有品牌’，新系统没有,功能缺失问题,参林后台,转需求,,,,,,
,4月17日,04178店,个人销售报表商品编码是否可以和英克pos一样，列举查询,功能缺失问题,参林后台,转需求,,,,,,
,4月17日,09121店,百科处方关联不到流水346546729530683392,功能缺失问题,参林后台,已修复,,,,,,
,4月18日,00873罗紫其,零钱储值：很多老人家都没有微信，没有小程序，经常不带手机的，用个零钱要刷卡或者带卡，能不能像之前那样直接用？,系统设计问题,收银,转需求,,,,,,
,4月18日,04600分店,04600分店召回商品，门店的新系统前台没有拦截提醒，8219070,功能缺失问题,收银,已修复,,,,,,
,4月18日,83595翰林店,是前天到的首批货、结果扫码的时候、店里所有的商品跟实物都不一致（重复收货）,系统设计问题,参林后台,转需求,,,是,"https://dpms.dslbuy.com/browse/POS-28040
https://dpms.dslbuy.com/browse/POS-28041",2024/4/23,POS-28040在20240423上线
,4月18日,14102店,不小心在订单后面都复制了个"."就报错了,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-28016,,,2024/5/9,已修复
,4月18日,80055店,346487956513775616，支付方式为空，会员已退款，顾客没收到钱,系统设计问题,收银,已修复,是,https://dpms.dslbuy.com/browse/POS-28065,,,2024/4/19,已修复，无需发版
,4月19日,,"兑换券使用提示‘CRM校验该【优惠券:1-293182150308不可用,可核销时间段:null请检查!
’，提示语需优化为‘目前CRM返回不可用状态’",系统设计问题,收银,转需求,,,,,,
,4月22日,04248店,增加中药装斗和复核人，参考英克（非本店人员，是本公司人员）,数据配置问题,参林后台,不修复,,,,,,与产品沟通，单独拉群跟进
,4月22日,08553店,BUG未解决，需刷数，需将流水做退款：347507078308294656,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27378?filter=15739,,,,已修复数据，BUG未修复
,4月22日,12348店,1141355不会效期打折,,参林后台,不修复,,,,,2024/4/23,无需修复
,4月23日,10401财富家园店,收款时零钱不能直接扣除，要扫顾客的零钱码，这个本来就是方便找零的，可以设置5元以内自动扣款吗？,系统设计问题,收银,转需求,,,,,,已转产品雷智永，在需求池
,4月23日,惠州信息员,参林角色配置的打印模板需要做好初始化，或者上线前告知信息员做好配置（比如价签打印的模板配置）,数据配置问题,参林后台,转需求,,,,,2024/4/23,"已转项目经理李雨熹，
并加入至标准化流程中"
,4月23日,04348店,"团购订单：348621152041877504
1、折扣率展示不正确；2、团购详情单无数据",质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-28189,,,,已解决
,4月23日,多个店,【参林POS】订单未支付成功先调了会员升级接口，尽快修复尽快修复！！！BUG单里面的数据已经帮门店处理好了。,质量bug问题,收银,bug,是,,,,,已转开发嘉伟去刷新流水
,4月23日,90101林仁伟,会员升级和商品一单的时候，使用券的时候分摊到了会员费上，需要优化成不分摊给会员。否则APP收入就不是100元，而是92.2，减少了毛利收入,系统设计问题,收银,转需求,,,,,,已转产品雷智永，在需求池
,4月24日,10212店，陈泽祯反馈,参林10212调拨 81162选不到门店，英克可以,系统设计问题,参林后台,不修复,,,,,,"81162店不是参林门店，
不支持参林门店向英克门店调拨"
,4月24日,04681店，温英杰,17777941584，今天会员通扫码注册了会员没生成流水,系统设计问题,收银,不修复,,,,,,查参林流水已是同步
,4月24日,地区业务林雪芝,汕尾地区业务（原英克账号16558）没有参林的权限审核报损单，这个可以跟谁加？,数据配置问题,参林后台,不修复,,,,,,找产品淑强
,4月24日,04959店汕尾海丰赤坑,百科收货了，POS还是显示未收，配送单：KC020000053890，箱号：2404230151，如编码1163183,系统设计问题,参林后台,不修复,,,,,,查看系统已转为验收状态
,4月25日,02959店,处方维护关联流水号大长了，建议易健康设个扫二维码关联（需要参林产品去推动易健康产品）,系统设计问题,收银,转需求,,,,,,转产品雷智永与创新产品沟通
,4月25日,01795店,【参林POS】订单未支付成功先调了会员升级接口，尽快修复尽快修复！！！,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27738?filter=15739,,,,已转开发嘉伟
,4月26日,12789店,【参林POS】订单未支付成功先调了会员升级接口，尽快修复尽快修复！！！,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27738?filter=15739,,,,"已提工单给李豪杰
"
,4月26日,02323店，刘超,退款流水同步以后日结没有差异金额,系统设计问题,收银,不修复,,,,,,已转李豪杰处理
,4月26日,01795店,由BUG：POS-27738引起的数据处理：流水没成功但是调了会员接口，需要退还兑换商品的积分1000，减少消费的积分，流水：349056898441408512,质量bug问题,收银,bug,,,,,,https://dpms.dslbuy.com/browse/POS-28401
,4月26日,80092店,加盟主管在角色里授权了报损管理的审批功能，但是操作上没有审批按钮,操作问题,参林后台,转需求,,,,,,"在平台模式下审批；
已同步至产品淑强；"
,4月27日,06669骆晓静,"电话18125990090，流水350009373254819840
，04月27日，退款成功了，没有降级",质量bug问题,收银,bug,否,https://dpms.dslbuy.com/browse/POS-28410,,,,"退款未调用Sibele接口
已转嘉伟"
,4月27日,90521店，莫晓丹,参林日结流水和两班销售对比表差距很大很大,质量bug问题,参林后台,bug,,,,,,已转吴泽欣处理
,4月27日,90443张静吟,门店日结了但是系统没有日结记录，见图。,系统设计问题,收银,设计如此,,,,,,已转吴泽欣处理
,4月27日,04958谭小丽,1140091这个商品是下图商品有是订购无所以加不上去，需要黄泽浩添加订购无请货订3盒，联系人：04958谭小丽,系统设计问题,参林后台,设计如此,,,,,,"已转产品黄泽浩处理
已处理完"
,4月27日,03317李娜,BUG未解决，需刷数，需将流水做退款：350183653206126592,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27378?filter=15739,,,,"已提工单给李豪杰
https://dpms.dslbuy.com/browse/POS-28401"
,4月27日,04899林惠单,团购单：344289271347339264，审批通过无细单,操作问题,参林后台,不修复,,,,,,"4月11日团购单已在4月28日重新细单，正常展示了
团购订单：350364449102962688"
,4月27日,04957李敏,需要确认下可积分抵扣金额的逻辑,数据配置问题,收银,不修复,,,,,,与信息员确认配置
,4月27日,90006,积分兑换报错,数据配置问题,收银,不修复,,,,,,与信息员确认配置
,4月28日,01206张思玲,流水没退会员降级了，sieble显示是参林传的降级：13727194800；流水：350476432931024896。需要刷數：退流水,质量bug问题,收银,,,,,,,
,4月28日,84233莫晓丹,门店使用非系统新增的营业员时，百科业绩统计不到,系统设计问题,收银,,,,,,,
,4月28日,90428李慧君,（请处理好后回复门店）连续出了2单一样的流水，毫秒之差：350525997168193536；350526187161776128,质量bug问题,收银,,,,,,,
,4月29日,01823彭小懿,不利于门店请货 要尽快优化：请货第一次输入这个商品8306869回车，发现有货不需要删除编码之后，重新输入另一个编码1024473，再回车，输入数量，发现请货的商品还是第一个,,参林后台,,,,,,,
,4月29日,多门店,退货列表中，来货问题原因的退货无法添加商品,质量bug问题,参林后台,bug,是,POS-28418,,,,
,4月29日,多门店,收货单管理，网络卡顿时点击收货按钮出现收货数量大于配送数量,质量bug问题,参林后台,bug,是,POS-28435,,,,
,4月29日,,参林后台-平台模式-零售流水查询中的班次筛选项出现重复班次,质量bug问题,参林后台,bug,是,POS-28474,,,,
,4月29日,,新请货列表-细单展示列表表头顺序拖拉不保存的,,参林后台,转需求,,POS-28475,,,,
,5月1日,02420叶洁琳,旧系统的退款已经同步到新系统了，没有扣减日结金额，详见图,,收银,bug,,,,,,
,5月1日,14533刘蕊,点击收货提示违反约束，实际已经收货了，还有待验收,,参林后台,bug,,https://dpms.dslbuy.com/browse/POS-28481,,,,
,5月1日,80132周春梅,门店30日系统实收和两班销售报表对不上，当日只有2单当天买当天整单退的线下单，见图,,收银,,,,,,,
,5月1日,04178陆云竹、81362张飞、82078朱曼君,陈列检查没有记录，新增还是提示有记录。设置了检查天数还是提示有记录！！！,,参林后台,bug,,POS-28513,,,,
,5月1日,01925陈美琳,今天卖的货退款提示出入库记账问题，疑似1011494没有出入库记录，8110400有重复出入库记录,,收银,,,,,,,
,5月1日,01485肖玲,18926688855，补加积分提示【会员所属门店不存在:1009010168】,,收银,bug,,POS-28514,,,,
,5月1日,04810苏月霞,清远的券检查规则没问题但是不能用的问题，信息如下,,收银,,,,,,,
,5月1日,09161郝刘欢,351532718657368064由系统直接出数生成，无法退流水，需要刷数退流水（由于系统现有Bug未修复，）,,收银,bug,,https://dpms.dslbuy.com/browse/POS-28604?filter=-2,,,,
,5月1日,01688杨银妹,03780店清远先锋路：流水退款成功没有调会员接口， 351589646501486592，13229835620,,收银,bug,,https://dpms.dslbuy.com/browse/POS-28410,,,,
,5月1日,14536石艳利,351559048866295808不显示购买数量，其他流水正常,,收银,bug,,POS-28515,,,,
,5月1日,05996谢芹许,8104004符合条件不弹效期,,参林后台,不修复,,,,,,
,5月1日,04008童赛虹,"351636619603734528
订单成功没有调第三方支付，需检查门店操作是否有问题，附图是第三方支付和订单时间",,收银,不修复,,POS-28516,,,,
,5月3日,90080薛赛玉,个人销售报表没有总金额,,参林后台,转需求,,,,,,
,5月5日,83919杨平店、90202店惠州博罗长福、80797民心堂店、 富华80621，富兴84014、81186侨康店、80289牧云店、81285福瑞店、80573恒景天店,惠州多家加盟店反馈要加收钱吧收款方式,,收银,不修复,,,,,,
,5月5日,惠州多家门店反馈,惠州后续上线的门店初始的收款方式要加上普康宝,,收银,转需求,,,,,,
,5月5日,83921张燕宁,检查了证照了有效的，还是提示不能请货。请检查定时器,,参林后台,已修复,,,,,,
,5月5日,信息员刘超,1256280预约券无法报溢，检索不到商品,,参林后台,已修复,,,,,,
,5月5日,10401陈映彤,综合库存查询可不可以增加一下销量筛选？可不可以设置一下可以排序？,,参林后台,转需求,,,,,,
,5月5日,01497林楚霞，会员专员黄洁,门店用券，如果里面含有至尊卡服务费不可以整单退款，只能降级归降级，退款归退款，所以有2条部分退流水，见图。本单涉及用券，如果没整单退，券没有返回，所以升级和商品销售同一单又用了券的情况券必定会失效，请处理。流水：352550097529073664，会员：13500081917,,收银,bug,,,,,,
,5月5日,01823彭小懿,"门店已有证照:【2,4,2,4】，商品所需证照:【2,4】",,参林后台,已修复,,,,,,
,5月5日,1217吴慕欣,"8208525,15819052551,选择送冰袋促销，提示空指针异常",,收银,,,,,,,
,5月5日,13262黄金仪,352929983280181248，参林POS显示支付成功已出小票，没有调用好易联接口，导致门店收款失败短款，请检查是否系统异常,,收银,,,,,,,
,5月6日,08267黄伟凤,调拨明细能排序，目前不知道按什么排序的，也不是按日期。,,参林后台,转需求,,,,,,
,5月6日,财务中心黄文燕,"原流水：350009373254819840；退款流水：350009658027352064。
原流水：351589646501486592；退款流水：351594293345460224
降级没有调接口的问题数据，自动生成的降级出现了会员服务；1、需要更正为现金、2、需要巡检类似的数据",,收银,,,https://dpms.dslbuy.com/browse/POS-28530,,,,
,5月6日,多家门店反馈,来货破损的货品 选中商品提交的时候报这个错，只有一个商品,,参林后台,bug,,,,,,
,5月6日,,批号字典问题，参林pos门店无法自己报溢，需要开发协助处理，5月4日修复,,参林后台,bug,,,,,,
,5月6日,多家门店反馈,清斗数量与装斗数量不一致时 数据状态无法完成，英克系统是不需要两边一样的,,参林后台,,,,,,,
,5月6日,多家门店反馈,陈列检查数据都是“不合格”,,参林后台,bug,,,,,,
,5月6日,多家门店反馈,请货时，门店缺少证照信息，提示语只有字段值，没有显示具体证照名称,,参林后台,,,,,,,
,5月6日,多家门店反馈,挂单后重新提单 无法看到会员手机号,,收银,,,,,,,
,5月6日,两家门店反馈,"至尊卡续费支付取消，续费成功，操作步骤：
15019323329
上屏A商品+B商品+至尊会员续费128，pageup，支付方式微信金额+现金128方式收款，在收款页面点击取消，至尊卡续费成功，整笔订单是订单退款，订单详情是现金支付，金额是微信+现金的总金额",,收银,,,,,,,
,5月6日,80293门店,英克收到了召回通知，但是参林提取数据空白,,参林后台,,,,,,,
,5月6日,01823汕尾,因为汕尾医保不能直接前台出数，每次店员要自己重新计算录入医保系统,,收银,,,,,,,
,5月6日,上海好邻居,193号码段未识别，无法办会员卡,,收银,,,,,,,
,5月6日,01490汕尾,微信扫码触发弹窗好易联，每次必现，视频已经发群,,收银,,,,,,,
,5月6日,14538上海,020销售记录，退单的数据还在统计销售，是否能优化,,参林后台,转需求,,,,,,
,5月6日,汕尾&惠州,请货数量需要照中包装【500]倍数输入，中包装获取数据有误，前端和后台取值不同,,参林后台,bug,,,,,,
,5月6日,汕尾信息员反馈,选择收款方式不能用键盘的上下左右选择,,收银,转需求,,,,,,
,5月6日,07210黎春兰,【参林POS】不支持销完撤牌情况，需要英克请货：07210黎春兰，商品8102366，25个,,参林后台,转需求,,,,,,已请购送审
,5月7日,上海,还有货位调整我们现在货位调整每次只能做一个就要保存，如果一次做好几个一起保存不行，可以像这样页面一样，一次几个药一起做货位调整,,参林后台,转需求,,,,,,
,5月7日,90251店清远英德梓晓,参林POS流水核对表里的数据没有更新到百科业绩看板，门店无法核对毛利，总销等，需要导出数据给门店核算,,收银,转需求,,,,,,@张嘉伟
,5月7日,02597丘文佳,新请货界面直接输入重要，提示需按规格上屏，如图,,参林后台,转需求,,,,,,
,5月8日,14533上海店,收货明细功能页面不能复制配送单等字段值,,参林后台,转需求,,,,,,
,5月8日,01217吴慕欣,没有看到清斗的修改和删除细单的功能，维护错了怎么处理？,,参林后台,转需求,,,,,,
,5月8日,地区业务林雪芝,报溢-平台模式，搜不到门店，同样的检索，在门店模式可以搜到,,参林后台,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
